,codeuai,nom_etablissement,code_departement,code_commune,nom_commune,IPS,statut_public_prive,effectif,longitude,latitude
4386,0592896C,Collège Saint-Jean,059,59368,La Madeleine,130.5,Privé,582,3.07859,50.65515
4388,0590115E,Collège Franklin,059,59350,Lille,103.5,Public,467,3.07041,50.62911
4389,0592950L,Collège Notre-Dame,059,59653,Wavrin,110.4,Privé,830,2.8005,50.53179
4394,0595394T,Collège Notre-Dame de la Paix,059,59350,Lille,127.6,Privé,264,3.06747,50.6413
4425,0594638W,Collège Roger Salengro,059,59317,Houplines,98.6,Public,555,2.91843,50.68749
4426,0592830F,Collège Jean Zay,059,59220,Faches-Thumesnil,87.6,Public,349,3.0636,50.60722
4427,0593198F,Collège Communautaire,059,59009,Villeneuve-d'Ascq,95.3,Privé,416,3.13539,50.65687
4429,0593244F,Collège Philippe de Commynes,059,59152,Comines,83.5,Public,410,3.01259,50.75807
4430,0593662K,Collège Jean Demailly,059,59560,Seclin,92.6,Public,511,3.01488,50.54375
4688,0596860L,Collège Lucie Aubrac,059,59599,Tourcoing,73.3,Public,671,3.13039,50.73097
4689,0593152F,Collège Cardinal Liénart,059,59599,Tourcoing,79.1,Privé,171,3.15604,50.72856
4796,0594881K,Collège Martha Desrumaux,059,59350,Lille,91.4,Public,364,3.08484,50.63901
4840,0590190L,Collège Jean Baptiste Lebas,059,59512,Roubaix,59.9,Public,471,3.18307,50.68102
4841,0595167W,Collège Baudelaire,059,59512,Roubaix,78.9,Public,389,3.16864,50.67987
4842,0592917A,Collège Jeanne d'Arc,059,59512,Roubaix,144.2,Privé,673,3.16743,50.67818
4843,0594392D,Collège Pablo Néruda,059,59650,Wattrelos,85.9,Public,287,3.23785,50.70934
4875,0595656C,Collège Camille Claudel,059,59009,Villeneuve-d'Ascq,108.8,Public,322,3.15895,50.6393
5008,0596172N,Collège Henri Matisse,059,59352,Linselles,100.9,Public,353,3.08666,50.73845
5017,0594291U,Collège Molière,059,59009,Villeneuve-d'Ascq,118.6,Public,532,3.14632,50.65812
5018,0595597N,Collège Voltaire,059,59648,Wattignies,117.4,Public,492,3.04396,50.58103
5027,0594288R,Collège Louise Michel,059,59350,Lille,64.1,Public,424,3.04626,50.60615
5086,0597004T,Collège Miriam Makeba,059,59350,Lille,74.4,Public,471,3.06476,50.61837
5087,0596833G,Collège Nina Simone,059,59350,Lille,79.3,Public,482,3.04439,50.62422
5090,0593168Y,Collège Carnot,059,59350,Lille,125.2,Public,694,3.0667,50.63975
5120,0594525Y,Collège Le Triolo,059,59009,Villeneuve-d'Ascq,96.0,Public,350,3.13918,50.61613
5172,0593239A,Collège Boris Vian,059,59163,Croix,92.0,Public,539,3.14996,50.68344
5173,0590091D,Collège Lili Keller-Rosenberg,059,59279,Halluin,87.4,Public,526,3.12448,50.77536
5336,0593991T,Collège Théodore Monod,059,59343,Lesquin,119.8,Public,504,3.11158,50.59047
5570,0597115N,Ecole européenne de Lille Métropole - collège,059,59378,Marcq-en-Baroeul,140.0,Public,131,3.08676,50.66219
5696,0595397W,Collège Thérèse d'Avila,059,59350,Lille,140.2,Privé,739,3.04434,50.62854
5699,0593240B,Collège Gambetta,059,59367,Lys-lez-Lannoy,92.2,Public,669,3.21542,50.67871
5729,0593145Y,Collège Immaculée Conception,059,59560,Seclin,133.4,Privé,768,3.03263,50.55543
5733,0593658F,Collège Yvonne Abbas,059,59368,La Madeleine,95.5,Public,450,3.06512,50.65266
5734,0592959W,Collège Saint-Joseph,059,59152,Comines,110.2,Privé,530,3.00462,50.7616
5948,0593178J,Collège François Rabelais,059,59410,Mons-en-Baroeul,84.2,Public,500,3.11752,50.64173
6213,0594632P,Collège Raymond Devos,059,59299,Hem,89.3,Public,533,3.18778,50.66115
6352,0594293W,Collège Albert Roussel,059,59599,Tourcoing,71.7,Public,552,3.16844,50.7231
6353,0593217B,Collège Charles Péguy,059,59599,Tourcoing,98.2,Privé,1298,3.15141,50.72017
6378,0595385H,Collège la Croix Blanche,059,59090,Bondues,141.0,Privé,936,3.1095,50.71991
6484,0593237Y,Collège Gernez Rieux,059,59507,Ronchin,91.9,Public,488,3.09079,50.59831
6537,0595404D,Collège Saint-Adrien,059,59009,Villeneuve-d'Ascq,139.5,Privé,1364,3.14983,50.62874
6556,0593160P,Collège Saint Joseph - La Salle,059,59650,Wattrelos,106.4,Privé,1355,3.21839,50.70125
6558,0593150D,Collège Saint-Gabriel,059,59599,Tourcoing,81.3,Privé,409,3.17857,50.73313
6561,0592714E,Collège Mendès France,059,59599,Tourcoing,68.1,Public,383,3.18949,50.73604
6565,0593149C,Collège Charles de Foucauld,059,59599,Tourcoing,90.5,Privé,469,3.13387,50.7256
6598,0593242D,Collège Gustave Nadaud,059,59650,Wattrelos,77.2,Public,600,3.19783,50.70885
6600,0594394F,Collège Marie Curie,059,59599,Tourcoing,74.3,Public,552,3.15455,50.71887
6652,0595382E,Collège Saint-Jude,059,59017,Armentières,127.9,Privé,741,2.87459,50.68806
6699,0595302T,Collège Saint-Exupéry,059,59512,Roubaix,95.0,Privé,981,3.16746,50.68456
6700,0592905M,Collège Sainte-Marie,059,59512,Roubaix,74.1,Privé,397,3.17701,50.69654
6798,0595393S,Collège Sainte-Odile,059,59328,Lambersart,121.4,Privé,648,3.02752,50.63828
